,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years
74,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,18-20,Under 1 Year
75,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
76,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,3 to 4 Years
77,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,1 to 2 Years
78,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,31–35,1 to 2 Years
79,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,41–45,Under 1 Year
80,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,46–50,7 to 10 Years
81,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,41–45,5 to 6 Years
82,False,False,False,False,False,False,False,False,False,False,True,True,True,Female,41–45,5 to 6 Years
83,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,18-20,Under 1 Year
84,False,False,False,True,False,False,False,False,False,True,False,False,False,Female,56+,3 to 4 Years
85,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,7 to 10 Years
86,False,True,True,False,True,True,True,False,False,False,False,False,True,Female,41–45,3 to 4 Years
87,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
88,False,True,False,False,False,False,False,False,True,False,False,False,True,Female,31–35,Under 1 Year
89,True,False,False,False,False,False,False,False,False,False,False,False,True,Female,41–45,Under 1 Year
90,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,NaN
91,False,True,True,False,False,False,False,False,False,False,False,False,False,Female,,NaN
92,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,31–35,11 to 20 Years
93,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years
94,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
95,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,51-55,Under 1 Year
96,False,True,False,False,False,True,False,True,False,False,False,False,False,Female,31–35,Under 1 Year
97,True,False,False,False,True,True,True,False,False,False,False,False,False,Male,,NaN
98,False,False,False,False,False,True,False,False,False,False,False,True,True,Male,21–25,1 to 2 Years
99,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years
100,True,False,False,False,True,False,False,False,False,False,False,False,False,Female,46–50,5 to 6 Years
101,False,False,True,False,True,False,True,False,False,False,False,False,False,Female,,NaN
102,False,False,True,False,True,False,True,False,False,False,False,False,False,Female,,NaN
103,False,False,False,True,True,True,True,False,False,False,False,False,False,Female,36–40,Under 1 Year
104,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,11 to 20 Years
105,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,3 to 4 Years
106,False,False,False,False,False,False,False,False,True,True,True,True,True,Female,51-55,1 to 2 Years
107,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,Under 1 Year
108,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,1 to 2 Years
109,True,False,False,False,False,False,False,True,False,False,False,True,True,Female,26–30,Under 1 Year
110,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,,NaN
