,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years,exit_year,college
61,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,1 to 2 Years,2012,DETE
62,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years,2012,DETE
63,False,False,True,False,False,False,False,False,False,False,True,False,True,Male,56+,20 Plus Years,2012,DETE
64,False,False,False,False,False,True,False,False,False,False,True,False,False,Male,56+,20 Plus Years,2012,DETE
65,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,20 Plus Years,2012,DETE
66,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56+,5 to 6 Years,2012,DETE
67,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,,2012,DETE
68,False,False,False,False,False,True,False,False,True,False,False,False,False,Male,56+,5 to 6 Years,2012,DETE
69,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,36-40,,2012,DETE
70,False,False,False,False,False,False,False,False,False,False,True,False,True,Female,56+,20 Plus Years,2012,DETE
71,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,1 to 2 Years,2012,DETE
72,False,False,False,True,False,False,False,False,False,False,False,True,False,Female,56+,,2012,DETE
73,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,1 to 2 Years,2012,DETE
74,False,False,False,False,True,False,False,False,False,False,False,True,False,Female,56+,20 Plus Years,2012,DETE
75,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,Under 1 Year,2012,DETE
76,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,1 to 2 Years,2012,DETE
77,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,5 to 6 Years,2012,DETE
78,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,21-25,Under 1 Year,2012,DETE
79,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,26-30,1 to 2 Years,2012,DETE
80,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years,2012,DETE
81,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,1 to 2 Years,2012,DETE
82,False,False,False,False,False,True,True,False,True,False,False,False,False,Female,51-55,1 to 2 Years,2012,DETE
83,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,Under 1 Year,2012,DETE
84,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,1 to 2 Years,2012,DETE
85,False,False,False,False,True,False,False,False,True,False,True,False,False,Male,56+,20 Plus Years,2012,DETE
86,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,1 to 2 Years,2012,DETE
87,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,5 to 6 Years,2012,DETE
88,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,46-50,1 to 2 Years,2012,DETE
89,False,False,True,False,False,False,False,False,False,False,False,True,False,Female,56+,20 Plus Years,2013,DETE
90,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,20 Plus Years,2012,DETE
91,False,False,True,False,False,False,False,False,False,False,False,True,False,Male,56+,20 Plus Years,2012,DETE
92,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,3 to 4 Years,2012,DETE
93,False,False,False,False,False,True,False,False,True,False,False,True,False,Female,41-45,7 to 10 Years,2012,DETE
94,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,20 Plus Years,2012,DETE
95,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,51-55,3 to 4 Years,2012,DETE
96,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56+,3 to 4 Years,2012,DETE
97,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,11 to 20 Years,2012,DETE
98,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,56+,7 to 10 Years,2012,DETE
99,False,False,False,True,False,False,False,False,False,False,False,True,False,Male,31-35,1 to 2 Years,2012,DETE
100,False,False,False,False,True,True,False,False,False,False,False,True,False,Female,36-40,3 to 4 Years,2012,DETE
101,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,11 to 20 Years,2012,DETE
102,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,5 to 6 Years,2012,DETE
103,False,False,False,False,True,True,False,False,True,False,False,False,False,Female,51-55,3 to 4 Years,2012,DETE
104,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years,2012,DETE
105,False,False,False,False,False,True,False,False,False,False,False,True,False,Female,56+,11 to 20 Years,2012,DETE
106,False,False,False,False,False,False,False,False,False,True,False,True,False,Female,46-50,,2012,DETE
107,False,False,True,False,False,False,False,False,False,False,False,True,False,Female,56+,7 to 10 Years,2012,DETE
108,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,3 to 4 Years,2012,DETE
109,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,,2012,DETE
110,False,False,True,False,False,True,False,False,False,False,False,True,False,Female,56+,11 to 20 Years,2012,DETE
111,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,7 to 10 Years,2012,DETE
112,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56+,5 to 6 Years,2012,DETE
113,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,3 to 4 Years,2012,DETE
114,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,41-45,7 to 10 Years,2012,DETE
115,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,,2012,DETE
116,False,False,False,False,True,False,True,False,True,False,False,False,False,Male,56+,20 Plus Years,2012,DETE
117,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,56+,20 Plus Years,2012,DETE
118,True,False,False,False,False,False,False,False,False,False,True,True,False,Female,46-50,1 to 2 Years,2012,DETE
119,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,31-35,1 to 2 Years,2012,DETE
120,False,False,False,False,False,True,False,False,True,False,False,False,False,Female,26-30,3 to 4 Years,2012,DETE
121,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,31-35,,2012,DETE
122,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,20 Plus Years,2012,DETE
123,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,,,2012,DETE
124,False,True,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,Under 1 Year,2012,DETE
125,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,20 Plus Years,2012,DETE
126,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,51-55,20 Plus Years,2012,DETE
127,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,51-55,20 Plus Years,2013,DETE
