,Unnamed: 0,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years
69,69,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,36-40,
70,70,False,False,False,False,False,False,False,False,False,False,True,False,True,Female,56+,20 Plus Years
71,71,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,1 to 2 Years
72,72,False,False,False,True,False,False,False,False,False,False,False,True,False,Female,56+,
73,73,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,1 to 2 Years
74,74,False,False,False,False,True,False,False,False,False,False,False,True,False,Female,56+,20 Plus Years
75,75,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,Under 1 Year
76,76,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,1 to 2 Years
77,77,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,5 to 6 Years
78,78,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,21-25,Under 1 Year
79,79,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,26-30,1 to 2 Years
80,80,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years
81,81,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,1 to 2 Years
82,82,False,False,False,False,False,True,True,False,True,False,False,False,False,Female,51-55,1 to 2 Years
83,83,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,Under 1 Year
84,84,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,1 to 2 Years
85,85,False,False,False,False,True,False,False,False,True,False,True,False,False,Male,56+,20 Plus Years
86,86,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,1 to 2 Years
87,87,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,5 to 6 Years
88,88,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,46-50,1 to 2 Years
89,89,False,False,True,False,False,False,False,False,False,False,False,True,False,Female,56+,20 Plus Years
90,90,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,20 Plus Years
91,91,False,False,True,False,False,False,False,False,False,False,False,True,False,Male,56+,20 Plus Years
92,92,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,3 to 4 Years
93,93,False,False,False,False,False,True,False,False,True,False,False,True,False,Female,41-45,7 to 10 Years
94,94,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,20 Plus Years
95,95,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,51-55,3 to 4 Years
96,96,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56+,3 to 4 Years
97,97,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,11 to 20 Years
98,98,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,56+,7 to 10 Years
99,99,False,False,False,True,False,False,False,False,False,False,False,True,False,Male,31-35,1 to 2 Years
100,100,False,False,False,False,True,True,False,False,False,False,False,True,False,Female,36-40,3 to 4 Years
101,101,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,11 to 20 Years
102,102,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,5 to 6 Years
103,103,False,False,False,False,True,True,False,False,True,False,False,False,False,Female,51-55,3 to 4 Years
104,104,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years
105,105,False,False,False,False,False,True,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
106,106,False,False,False,False,False,False,False,False,False,True,False,True,False,Female,46-50,
107,107,False,False,True,False,False,False,False,False,False,False,False,True,False,Female,56+,7 to 10 Years
108,108,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,3 to 4 Years
109,109,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,
110,110,False,False,True,False,False,True,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
111,111,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,7 to 10 Years
112,112,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56+,5 to 6 Years
113,113,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,3 to 4 Years
114,114,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,41-45,7 to 10 Years
115,115,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,
116,116,False,False,False,False,True,False,True,False,True,False,False,False,False,Male,56+,20 Plus Years
117,117,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,56+,20 Plus Years
118,118,True,False,False,False,False,False,False,False,False,False,True,True,False,Female,46-50,1 to 2 Years
119,119,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,31-35,1 to 2 Years
120,120,False,False,False,False,False,True,False,False,True,False,False,False,False,Female,26-30,3 to 4 Years
121,121,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,31-35,
122,122,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,20 Plus Years
123,123,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,,
124,124,False,True,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,Under 1 Year
125,125,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,20 Plus Years
126,126,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,51-55,20 Plus Years
127,127,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,51-55,20 Plus Years
128,128,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,11 to 20 Years
129,129,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
130,130,True,False,False,False,False,True,False,False,False,True,False,False,False,Male,51-55,Under 1 Year
131,131,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years
132,132,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,1 to 2 Years
133,133,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,
134,134,False,True,False,False,False,False,False,False,False,False,True,True,False,Male,46-50,20 Plus Years
135,135,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
136,136,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,
137,137,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
138,138,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,7 to 10 Years
139,139,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years
140,140,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,
141,141,False,False,True,False,False,False,False,False,False,False,True,True,False,Male,56+,
142,142,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,3 to 4 Years
143,143,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,
144,144,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56+,20 Plus Years
145,145,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,5 to 6 Years
146,146,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,
147,147,False,True,False,False,False,False,False,False,False,True,False,False,False,Male,26-30,7 to 10 Years
148,148,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years
149,149,False,True,False,False,True,True,False,False,False,False,False,False,False,Female,26-30,3 to 4 Years
150,150,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,3 to 4 Years
151,151,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,56+,
152,152,False,False,False,False,False,True,False,False,False,True,False,False,False,Female,36-40,Under 1 Year
153,153,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,3 to 4 Years
154,154,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,56+,7 to 10 Years
155,155,False,False,False,False,False,True,False,False,False,True,False,False,False,Female,21-25,1 to 2 Years
156,156,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,1 to 2 Years
157,157,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,21-25,1 to 2 Years
158,158,True,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,1 to 2 Years
159,159,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years
160,160,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,41-45,7 to 10 Years
161,161,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years
162,162,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,3 to 4 Years
163,163,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,7 to 10 Years
164,164,False,True,False,False,False,False,False,False,False,False,False,True,False,Female,41-45,3 to 4 Years
165,165,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,26-30,3 to 4 Years
166,166,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,46-50,7 to 10 Years
167,167,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,1 to 2 Years
168,168,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,56+,3 to 4 Years
169,169,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,
