,cf_to_public_sector,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years
72,False,False,False,True,False,False,False,False,False,False,False,True,False,Female,56+,NaN
73,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,1 to 2 Years
74,False,False,False,False,True,False,False,False,False,False,False,True,False,Female,56+,20 Plus Years
75,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,26-30,Under 1 Year
76,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,56+,1 to 2 Years
77,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,5 to 6 Years
78,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,21-25,Under 1 Year
79,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,26-30,1 to 2 Years
80,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years
81,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,1 to 2 Years
82,False,False,False,False,False,True,True,False,True,False,False,False,False,Female,51-55,1 to 2 Years
83,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,Under 1 Year
84,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,1 to 2 Years
85,False,False,False,False,True,False,False,False,True,False,True,False,False,Male,56+,20 Plus Years
86,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,1 to 2 Years
87,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,5 to 6 Years
88,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,46-50,1 to 2 Years
89,False,False,True,False,False,False,False,False,False,False,False,True,False,Female,56+,20 Plus Years
90,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,20 Plus Years
91,False,False,True,False,False,False,False,False,False,False,False,True,False,Male,56+,20 Plus Years
92,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,3 to 4 Years
93,False,False,False,False,False,True,False,False,True,False,False,True,False,Female,41-45,7 to 10 Years
94,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,20 Plus Years
95,False,False,False,False,True,True,False,False,False,False,False,False,False,Male,51-55,3 to 4 Years
96,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,56+,3 to 4 Years
97,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,11 to 20 Years
98,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,56+,7 to 10 Years
99,False,False,False,True,False,False,False,False,False,False,False,True,False,Male,31-35,1 to 2 Years
100,False,False,False,False,True,True,False,False,False,False,False,True,False,Female,36-40,3 to 4 Years
101,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,11 to 20 Years
102,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,5 to 6 Years
103,False,False,False,False,True,True,False,False,True,False,False,False,False,Female,51-55,3 to 4 Years
104,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years
105,False,False,False,False,False,True,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
106,False,False,False,False,False,False,False,False,False,True,False,True,False,Female,46-50,NaN
107,False,False,True,False,False,False,False,False,False,False,False,True,False,Female,56+,7 to 10 Years
108,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,3 to 4 Years
109,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,NaN
110,False,False,True,False,False,True,False,False,False,False,False,True,False,Female,56+,11 to 20 Years
111,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,7 to 10 Years
112,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56+,5 to 6 Years
113,False,False,False,False,False,False,False,True,False,False,False,False,False,Male,56+,3 to 4 Years
114,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,41-45,7 to 10 Years
115,False,False,False,False,False,False,False,False,False,False,False,True,False,Female,56+,NaN
116,False,False,False,False,True,False,True,False,True,False,False,False,False,Male,56+,20 Plus Years
117,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,56+,20 Plus Years
118,True,False,False,False,False,False,False,False,False,False,True,True,False,Female,46-50,1 to 2 Years
