index,cf_to_private_sector,cf_health,cf_family,cf_dept_dissatisfaction,cf_job_dissatisfaction,cf_interpersonal_conflict,cf_other,institute_recognition,institute_job_security,dept_workload,dept_work_life_balance,dept_work_environment,gender,age,service_years,exit_year,college
26,True,False,False,True,True,False,False,False,False,False,False,True,Male,,,2010,TAFE
27,False,False,False,False,False,False,False,False,False,False,False,True,Male,56+,20 Plus Years,2010,TAFE
28,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
29,True,False,False,False,False,False,False,True,False,False,False,False,Female,31–35,Under 1 Year,2010,TAFE
30,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
31,False,False,False,False,False,False,False,False,False,False,False,True,Female,26–30,Under 1 Year,2010,TAFE
32,True,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,Under 1 Year,2010,TAFE
33,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
34,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2010,TAFE
35,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2010,TAFE
36,True,False,False,False,False,False,True,False,False,False,False,False,Female,,,2010,TAFE
37,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
38,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
39,False,False,False,False,False,False,False,True,True,True,True,True,Female,,,2010,TAFE
40,False,False,False,True,False,False,False,False,False,False,False,False,Female,26–30,Under 1 Year,2010,TAFE
41,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,11 to 20 Years,2010,TAFE
42,False,False,False,False,False,False,False,False,False,False,False,False,Male,31–35,3 to 4 Years,2010,TAFE
43,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2010,TAFE
44,False,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,11 to 20 Years,2010,TAFE
45,True,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,11 to 20 Years,2010,TAFE
46,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,20 Plus Years,2010,TAFE
47,True,False,False,True,False,False,False,False,False,True,False,False,Male,31–35,Under 1 Year,2010,TAFE
48,False,False,True,False,True,False,False,False,False,False,True,False,Female,31–35,7 to 10 Years,2010,TAFE
49,True,False,False,False,False,False,False,False,True,True,False,False,Male,56+,3 to 4 Years,2010,TAFE
50,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
51,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
52,True,False,False,False,True,False,False,False,False,False,False,True,Female,41–45,3 to 4 Years,2010,TAFE
53,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
54,False,False,False,True,False,False,True,False,False,False,False,False,Male,,,2010,TAFE
55,True,False,False,False,False,False,False,False,False,True,True,True,Female,31–35,Under 1 Year,2010,TAFE
56,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2010,TAFE
57,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2010,TAFE
58,False,False,False,False,True,False,False,False,False,True,False,False,Female,56+,3 to 4 Years,2010,TAFE
59,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
60,False,False,False,False,False,False,True,True,True,False,False,False,Female,56+,3 to 4 Years,2010,TAFE
61,False,False,False,False,False,False,False,True,True,True,True,True,Male,26–30,3 to 4 Years,2009,TAFE
62,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,11 to 20 Years,2009,TAFE
63,False,False,False,False,False,False,True,False,False,False,False,False,Male,51-55,3 to 4 Years,2009,TAFE
64,False,False,False,True,False,True,False,False,False,False,False,False,Male,46–50,11 to 20 Years,2010,TAFE
65,False,False,False,True,False,False,True,True,True,False,True,True,Female,21–25,Under 1 Year,2010,TAFE
66,False,False,True,False,False,False,False,True,False,False,True,True,Female,31–35,1 to 2 Years,2010,TAFE
67,False,False,False,False,False,False,False,True,False,False,True,False,Female,31–35,Under 1 Year,2010,TAFE
68,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2010,TAFE
69,True,False,False,False,False,False,False,False,False,False,False,True,Male,51-55,3 to 4 Years,2010,TAFE
70,False,False,False,False,True,False,False,False,False,True,False,False,Female,51-55,3 to 4 Years,2010,TAFE
71,False,False,False,True,False,False,False,False,False,False,False,False,Female,36–40,7 to 10 Years,2010,TAFE
72,False,False,False,False,False,False,True,False,False,False,False,False,Female,51-55,5 to 6 Years,2010,TAFE
73,False,False,False,False,False,False,False,True,True,True,True,True,Female,41–45,Under 1 Year,2010,TAFE
74,False,False,False,False,True,False,False,False,False,False,False,False,Female,18-20,Under 1 Year,2010,TAFE
75,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
76,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,3 to 4 Years,2010,TAFE
77,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,1 to 2 Years,2010,TAFE
78,False,True,False,False,False,False,False,False,False,False,False,False,Female,31–35,1 to 2 Years,2010,TAFE
79,False,False,False,False,True,False,False,False,False,False,False,False,Male,41–45,Under 1 Year,2010,TAFE
80,False,False,False,False,False,False,True,False,False,False,False,False,Female,46–50,7 to 10 Years,2010,TAFE
81,False,False,True,False,False,False,False,False,False,False,False,False,Male,41–45,5 to 6 Years,2010,TAFE
82,False,False,False,False,False,False,False,False,False,True,True,True,Female,41–45,5 to 6 Years,2010,TAFE
83,False,False,False,False,False,False,False,False,False,False,False,False,Female,18-20,Under 1 Year,2010,TAFE
84,False,False,True,False,False,False,False,False,True,False,False,False,Female,56+,3 to 4 Years,2010,TAFE
85,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,7 to 10 Years,2010,TAFE
86,True,True,False,True,True,True,False,False,False,False,False,True,Female,41–45,3 to 4 Years,2010,TAFE
87,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
88,True,False,False,False,False,False,False,True,False,False,False,True,Female,31–35,Under 1 Year,2010,TAFE
89,False,False,False,False,False,False,False,False,False,False,False,True,Female,41–45,Under 1 Year,2010,TAFE
90,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2011,TAFE
91,True,True,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
92,False,False,False,False,False,False,False,False,False,False,False,False,Female,31–35,11 to 20 Years,2010,TAFE
93,True,False,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2011,TAFE
94,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
95,False,False,False,False,False,False,False,False,True,False,False,False,Male,51-55,Under 1 Year,2010,TAFE
96,True,False,False,False,True,False,True,False,False,False,False,False,Female,31–35,Under 1 Year,2010,TAFE
97,False,False,False,True,True,True,False,False,False,False,False,False,Male,,,2011,TAFE
98,False,False,False,False,True,False,False,False,False,False,True,True,Male,21–25,1 to 2 Years,2010,TAFE
99,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2010,TAFE
100,False,False,False,True,False,False,False,False,False,False,False,False,Female,46–50,5 to 6 Years,2011,TAFE
101,False,True,False,True,False,True,False,False,False,False,False,False,Female,,,2010,TAFE
102,False,True,False,True,False,True,False,False,False,False,False,False,Female,,,2010,TAFE
103,False,False,True,True,True,True,False,False,False,False,False,False,Female,36–40,Under 1 Year,2010,TAFE
104,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,11 to 20 Years,2011,TAFE
105,True,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,3 to 4 Years,2010,TAFE
106,False,False,False,False,False,False,False,True,True,True,True,True,Female,51-55,1 to 2 Years,2010,TAFE
107,True,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,Under 1 Year,2010,TAFE
108,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,1 to 2 Years,2010,TAFE
109,False,False,False,False,False,False,True,False,False,False,True,True,Female,26–30,Under 1 Year,2011,TAFE
110,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
111,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2010,TAFE
112,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
113,False,False,False,True,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
114,True,False,False,False,True,False,False,False,False,False,True,False,Female,26–30,7 to 10 Years,2011,TAFE
115,False,False,False,False,False,False,False,False,False,False,False,False,Male,21–25,Under 1 Year,2011,TAFE
116,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2011,TAFE
117,False,False,False,False,False,False,False,False,False,False,True,False,Female,41–45,Under 1 Year,2011,TAFE
118,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,11 to 20 Years,2011,TAFE
119,False,False,False,False,False,False,True,True,False,False,False,False,Female,31–35,Under 1 Year,2011,TAFE
120,False,False,False,False,False,False,False,False,False,True,True,True,Female,36–40,1 to 2 Years,2011,TAFE
121,True,False,True,False,False,False,False,False,False,False,False,False,Male,46–50,3 to 4 Years,2011,TAFE
122,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2011,TAFE
123,False,False,True,False,False,False,False,True,False,False,False,False,Female,56+,5 to 6 Years,2011,TAFE
124,False,False,False,False,True,False,False,False,False,False,False,False,Male,51-55,Under 1 Year,2011,TAFE
125,False,False,False,False,True,False,False,False,False,False,False,False,Male,51-55,Under 1 Year,2011,TAFE
126,False,False,False,False,True,False,False,False,False,False,False,False,Male,51-55,Under 1 Year,2011,TAFE
127,False,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,7 to 10 Years,2011,TAFE
128,True,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,3 to 4 Years,2011,TAFE
129,True,False,False,False,False,False,True,False,False,False,False,False,Female,21–25,1 to 2 Years,2011,TAFE
130,False,False,True,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
131,False,True,False,False,False,False,True,True,True,False,True,True,Female,41–45,1 to 2 Years,2011,TAFE
132,False,True,False,False,False,False,False,True,True,False,False,True,Female,51-55,Under 1 Year,2011,TAFE
133,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,3 to 4 Years,2011,TAFE
134,False,False,False,True,True,False,False,False,False,False,False,False,Female,51-55,3 to 4 Years,2011,TAFE
135,False,False,False,True,False,False,False,False,False,False,False,False,Male,,,2011,TAFE
136,True,False,False,False,False,False,False,True,False,True,True,True,Male,46–50,5 to 6 Years,2011,TAFE
137,False,False,False,False,False,False,False,False,False,False,False,False,Male,21–25,3 to 4 Years,2011,TAFE
138,True,False,False,False,False,False,False,False,False,False,False,False,Male,,,2011,TAFE
139,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,11 to 20 Years,2011,TAFE
140,False,False,False,False,False,False,False,False,True,True,False,False,Female,41–45,3 to 4 Years,2011,TAFE
141,False,True,False,False,False,True,False,False,False,False,False,False,Female,51-55,20 Plus Years,2011,TAFE
142,False,False,False,False,False,False,False,False,False,True,False,False,Female,31–35,Under 1 Year,2011,TAFE
143,False,False,False,True,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2011,TAFE
144,False,False,False,True,False,True,False,False,False,False,False,False,Male,,,2011,TAFE
145,False,False,False,False,False,False,False,False,False,False,False,False,Male,31–35,1 to 2 Years,2011,TAFE
146,False,False,False,False,False,False,False,False,False,False,False,False,Male,31–35,Under 1 Year,2011,TAFE
147,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2011,TAFE
148,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,Under 1 Year,2011,TAFE
149,False,False,False,False,False,False,True,False,True,False,False,True,Female,51-55,Under 1 Year,2011,TAFE
150,True,False,False,False,False,False,False,False,False,False,False,True,Female,36–40,3 to 4 Years,2011,TAFE
151,False,False,False,False,False,False,True,False,False,False,False,True,Male,56+,Under 1 Year,2011,TAFE
152,True,False,False,False,False,False,False,False,True,True,True,True,Female,21–25,Under 1 Year,2011,TAFE
153,False,False,False,False,False,False,False,True,True,True,False,True,Male,18-20,Under 1 Year,2011,TAFE
154,False,False,False,False,False,False,False,False,False,True,True,True,Female,51-55,Under 1 Year,2011,TAFE
155,False,False,False,True,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2011,TAFE
156,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
157,False,False,False,False,True,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2011,TAFE
158,False,True,True,False,False,False,False,False,False,False,False,True,Female,56+,7 to 10 Years,2011,TAFE
159,False,False,False,True,False,False,False,False,False,False,False,False,Female,21–25,Under 1 Year,2011,TAFE
160,False,False,False,False,False,False,True,False,False,False,False,False,Female,41–45,Under 1 Year,2011,TAFE
161,False,False,False,False,False,False,True,False,False,False,True,True,Female,18-20,Under 1 Year,2011,TAFE
162,False,False,False,False,False,False,False,False,False,True,True,True,Female,21–25,1 to 2 Years,2011,TAFE
163,False,False,False,False,False,False,False,False,False,False,False,False,Female,41–45,Under 1 Year,2011,TAFE
164,False,False,False,True,True,True,False,False,False,False,False,False,Female,51-55,20 Plus Years,2011,TAFE
165,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,11 to 20 Years,2011,TAFE
166,False,False,False,True,True,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2011,TAFE
167,False,False,False,False,False,False,False,False,False,False,True,False,Female,41–45,5 to 6 Years,2011,TAFE
168,False,False,False,False,False,False,True,True,False,False,False,False,Female,51-55,Under 1 Year,2011,TAFE
169,False,False,False,True,True,False,False,False,False,False,False,False,Female,,,2011,TAFE
170,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,1 to 2 Years,2011,TAFE
171,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,Under 1 Year,2011,TAFE
172,True,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,1 to 2 Years,2011,TAFE
173,False,False,False,False,True,False,False,False,False,False,False,False,Male,,,2011,TAFE
174,False,False,False,False,False,False,False,False,False,False,False,True,Female,21–25,3 to 4 Years,2011,TAFE
175,False,False,False,False,False,False,False,True,True,True,True,False,Male,21–25,1 to 2 Years,2011,TAFE
176,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2011,TAFE
177,False,False,False,False,False,False,False,True,True,False,False,False,Female,41–45,1 to 2 Years,2011,TAFE
178,False,False,False,False,False,False,True,False,False,True,True,True,Female,21–25,5 to 6 Years,2011,TAFE
179,False,False,False,False,False,False,True,False,False,False,False,False,Female,31–35,3 to 4 Years,2011,TAFE
180,True,False,False,False,True,False,False,False,False,False,False,False,Female,21–25,3 to 4 Years,2011,TAFE
181,False,False,False,True,False,False,False,False,False,False,False,False,Male,41–45,3 to 4 Years,2011,TAFE
182,False,False,False,False,False,False,False,True,True,True,True,True,Female,56+,3 to 4 Years,2011,TAFE
183,False,False,False,False,True,True,False,False,False,False,False,False,Female,46–50,Under 1 Year,2011,TAFE
184,False,False,False,True,True,False,False,False,False,False,False,False,Female,26–30,1 to 2 Years,2011,TAFE
185,True,False,False,True,True,False,False,False,False,True,False,False,Male,46–50,1 to 2 Years,2011,TAFE
186,True,False,False,False,False,False,False,True,True,False,True,True,Male,46–50,1 to 2 Years,2011,TAFE
187,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,5 to 6 Years,2011,TAFE
188,False,False,True,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2011,TAFE
189,False,False,True,False,False,False,False,False,False,False,False,False,Female,46–50,5 to 6 Years,2011,TAFE
190,False,False,False,False,False,False,False,False,False,False,False,False,Female,21–25,1 to 2 Years,2011,TAFE
191,False,False,False,False,False,False,True,False,False,False,False,False,Female,41–45,1 to 2 Years,2011,TAFE
192,False,False,False,False,False,False,False,False,False,True,True,False,Female,36–40,Under 1 Year,2011,TAFE
193,True,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,5 to 6 Years,2011,TAFE
194,False,False,False,False,True,False,False,False,False,True,False,False,Male,26–30,Under 1 Year,2011,TAFE
195,False,False,True,False,True,False,False,False,False,False,False,False,Female,51-55,20 Plus Years,2011,TAFE
196,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,1 to 2 Years,2011,TAFE
197,False,False,False,False,False,False,True,False,False,False,False,False,Female,41–45,3 to 4 Years,2011,TAFE
198,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
199,False,False,False,False,False,False,False,False,False,True,False,True,Female,26–30,1 to 2 Years,2011,TAFE
200,False,False,False,False,False,False,True,False,False,False,False,False,Female,21–25,Under 1 Year,2011,TAFE
201,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2011,TAFE
202,False,True,False,False,False,False,True,False,False,False,False,False,Female,56+,7 to 10 Years,2011,TAFE
203,False,False,False,False,True,False,False,False,False,False,False,False,Female,41–45,Under 1 Year,2011,TAFE
204,False,False,False,True,False,True,False,False,False,False,False,False,Female,,,2010,TAFE
205,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
206,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,11 to 20 Years,2011,TAFE
207,False,False,False,False,False,False,True,True,False,True,True,False,Female,31–35,1 to 2 Years,2011,TAFE
208,True,False,False,False,True,False,False,False,False,False,False,False,Female,21–25,1 to 2 Years,2011,TAFE
209,False,False,False,False,False,False,False,False,False,False,False,False,Female,36–40,1 to 2 Years,2011,TAFE
210,False,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,Under 1 Year,2011,TAFE
211,False,False,True,False,False,False,False,False,False,False,False,False,Male,41–45,1 to 2 Years,2011,TAFE
212,False,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,Under 1 Year,2011,TAFE
213,False,False,False,False,False,False,False,False,False,True,True,False,Female,18-20,Under 1 Year,2011,TAFE
214,False,False,False,False,False,False,False,False,False,False,False,False,Male,51-55,Under 1 Year,2011,TAFE
215,True,False,False,False,False,False,False,False,False,False,False,False,Male,36–40,Under 1 Year,2011,TAFE
216,False,False,False,False,False,False,True,False,False,False,False,False,Female,,,2011,TAFE
217,False,False,False,False,False,False,True,False,False,True,False,True,Female,21–25,1 to 2 Years,2011,TAFE
218,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,1 to 2 Years,2011,TAFE
219,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,7 to 10 Years,2011,TAFE
220,True,False,False,False,True,False,False,False,False,True,True,False,Female,26–30,1 to 2 Years,2011,TAFE
221,False,False,False,True,True,False,False,False,False,False,False,False,Female,41–45,11 to 20 Years,2011,TAFE
222,False,False,False,False,False,False,False,True,True,False,False,True,Female,56+,3 to 4 Years,2012,TAFE
223,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,20 Plus Years,2011,TAFE
224,False,False,True,False,False,False,True,False,False,False,False,False,Female,46–50,5 to 6 Years,2011,TAFE
225,False,False,False,False,False,False,True,False,False,False,False,True,Female,56+,3 to 4 Years,2011,TAFE
226,False,False,False,False,False,False,False,False,False,True,True,False,Female,36–40,Under 1 Year,2011,TAFE
227,False,False,False,False,False,False,False,False,False,True,True,False,Female,36–40,3 to 4 Years,2011,TAFE
228,True,False,False,False,False,False,False,False,False,False,False,False,Female,26–30,3 to 4 Years,2011,TAFE
229,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,1 to 2 Years,2011,TAFE
230,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
231,False,False,False,False,False,False,False,False,False,True,False,False,Male,31–35,1 to 2 Years,2011,TAFE
232,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,Under 1 Year,2011,TAFE
233,False,False,False,False,False,False,False,False,True,False,True,True,Female,18-20,Under 1 Year,2011,TAFE
234,False,False,False,False,True,False,False,False,False,False,False,False,Female,,,2010,TAFE
235,False,False,False,False,False,False,False,False,False,False,False,False,Male,21–25,3 to 4 Years,2011,TAFE
236,False,False,False,False,False,False,False,True,True,True,False,True,Female,51-55,Under 1 Year,2011,TAFE
237,False,False,False,True,True,True,False,False,False,False,False,False,Female,36–40,1 to 2 Years,2011,TAFE
238,False,False,False,False,False,False,False,False,False,False,True,False,Female,41–45,11 to 20 Years,2011,TAFE
239,False,False,False,False,False,False,False,False,True,False,True,True,Female,46–50,Under 1 Year,2011,TAFE
240,False,False,True,False,False,False,False,False,False,False,False,False,Female,51-55,Under 1 Year,2011,TAFE
241,True,False,False,False,True,False,False,False,False,False,False,False,Female,21–25,3 to 4 Years,2011,TAFE
242,False,False,False,False,False,False,True,False,False,False,False,False,Female,36–40,Under 1 Year,2011,TAFE
243,False,False,False,False,False,False,True,False,False,False,False,False,Female,,,2011,TAFE
244,False,False,False,False,False,False,False,False,False,True,False,False,Female,18-20,Under 1 Year,2011,TAFE
245,True,False,False,False,False,False,False,False,False,False,False,False,Female,41–45,Under 1 Year,2011,TAFE
246,False,False,False,False,False,True,False,False,False,False,False,False,Female,18-20,1 to 2 Years,2011,TAFE
247,False,False,False,False,False,False,False,False,False,True,False,True,Female,56+,5 to 6 Years,2011,TAFE
248,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,3 to 4 Years,2011,TAFE
249,False,False,False,False,False,False,False,True,True,True,True,True,Female,56+,1 to 2 Years,2011,TAFE
250,False,False,False,False,False,False,False,False,False,False,False,False,Male,41–45,7 to 10 Years,2011,TAFE
251,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,2011,TAFE
252,False,False,False,False,False,False,False,True,True,True,True,True,Female,41–45,Under 1 Year,2011,TAFE
253,False,False,False,False,False,False,False,False,False,False,False,False,Female,41–45,Under 1 Year,2011,TAFE
254,False,False,False,False,False,False,False,False,False,False,False,True,Female,21–25,3 to 4 Years,2011,TAFE
255,False,False,False,False,False,False,True,False,False,False,False,False,Female,36–40,1 to 2 Years,2011,TAFE
256,False,False,False,False,False,False,False,False,False,True,True,True,Female,51-55,1 to 2 Years,2011,TAFE
257,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
258,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
259,False,False,False,False,False,True,False,False,False,False,False,False,Female,36–40,5 to 6 Years,2011,TAFE
260,False,False,False,True,False,False,False,False,False,False,False,False,Female,46–50,3 to 4 Years,2011,TAFE
261,False,False,False,False,False,False,False,False,False,False,False,False,Female,46–50,Under 1 Year,2011,TAFE
262,False,False,False,False,False,False,False,False,False,False,False,False,Female,56+,7 to 10 Years,2011,TAFE
263,False,False,False,False,False,False,True,False,False,False,False,False,Male,36–40,3 to 4 Years,2011,TAFE
264,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,11 to 20 Years,2012,TAFE
265,False,False,False,False,False,False,False,True,False,False,True,False,Female,51-55,3 to 4 Years,2011,TAFE
266,False,True,False,False,True,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2011,TAFE
267,False,False,False,False,False,False,False,True,True,True,True,True,Female,31–35,Under 1 Year,2011,TAFE
268,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,11 to 20 Years,2011,TAFE
269,False,True,False,False,False,False,False,False,True,False,False,True,Male,56+,11 to 20 Years,2011,TAFE
270,False,False,False,False,False,False,False,False,False,False,True,False,Female,41–45,1 to 2 Years,2011,TAFE
271,False,True,False,True,False,False,False,False,False,False,False,False,Male,56+,7 to 10 Years,2011,TAFE
272,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2011,TAFE
273,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,5 to 6 Years,2011,TAFE
274,True,False,False,False,False,False,False,False,False,False,False,False,Male,46–50,11 to 20 Years,2012,TAFE
275,True,False,False,False,False,False,False,False,False,False,False,False,Male,26–30,1 to 2 Years,2011,TAFE
276,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
277,True,False,False,False,False,False,False,False,False,False,False,False,Female,56+,20 Plus Years,2011,TAFE
278,False,False,False,False,False,False,False,True,True,True,True,True,Female,51-55,11 to 20 Years,2011,TAFE
279,False,True,False,False,False,False,False,False,False,False,False,False,Male,,,2011,TAFE
280,False,False,True,False,False,False,True,False,False,False,False,False,Female,56+,5 to 6 Years,2011,TAFE
281,False,False,False,False,False,False,True,False,False,False,False,False,Female,56+,11 to 20 Years,2011,TAFE
282,False,False,False,True,True,True,False,False,False,False,False,False,Female,56+,7 to 10 Years,2011,TAFE
283,False,False,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2011,TAFE
284,False,True,False,False,False,False,False,False,False,False,False,False,Male,56+,20 Plus Years,2011,TAFE
285,False,False,False,False,False,False,False,False,False,False,False,True,Male,56+,20 Plus Years,2011,TAFE
286,False,False,False,False,False,False,False,False,False,True,False,False,Female,51-55,11 to 20 Years,2011,TAFE
287,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,2011,TAFE
288,False,False,False,False,True,False,False,False,False,False,True,True,Male,46–50,Under 1 Year,2011,TAFE
